iter	Passed	Remaining
197	2701	10941
198	2712	10920
199	2724	10899
200	2735	10875
201	2747	10853
202	2760	10839
203	2774	10824
204	2787	10809
205	2801	10799
206	2814	10780
207	2826	10762
208	2839	10747
209	2849	10719
210	2858	10690
211	2868	10662
212	2877	10632
213	2887	10604
214	2896	10575
215	2906	10548
216	2916	10523
217	2926	10497
218	2936	10470
219	2945	10444
220	2955	10418
221	2965	10392
222	2975	10367
223	2985	10342
224	2995	10316
225	3005	10291
226	3014	10266
227	3025	10243
228	3034	10216
229	3043	10189
230	3054	10167
231	3065	10147
232	3076	10126
233	3087	10108
234	3100	10092
235	3111	10073
236	3123	10056
237	3134	10035
238	3146	10018
239	3158	10000
240	3169	9983
241	3184	9973
242	3194	9952
243	3206	9936
244	3219	9920
245	3230	9900
246	3242	9883
247	3253	9866
248	3265	9850
249	3278	9834
250	3289	9817
251	3301	9799
252	3313	9783
253	3325	9767
254	3337	9750
255	3349	9733
256	3360	9715
257	3372	9698
258	3383	9680
259	3395	9664
260	3407	9648
261	3419	9631
262	3432	9619
263	3444	9603
264	3457	9588
265	3468	9570
266	3479	9553
267	3490	9534
268	3500	9513
269	3510	9491
270	3520	9470
271	3530	9449
272	3540	9427
273	3549	9404
274	3559	9385
275	3572	9371
276	3583	9353
277	3592	9330
278	3603	9311
279	3613	9291
280	3623	9271
281	3633	9251
282	3643	9231
283	3653	9211
284	3663	9190
285	3673	9169
286	3683	9149
287	3692	9127
288	3702	9108
289	3712	9089
290	3722	9069
291	3732	9049
292	3741	9029
293	3751	9009
294	3761	8989
295	3771	8969
296	3781	8950
297	3791	8931
298	3801	8912
299	3811	8892
300	3820	8871
301	3830	8853
302	3840	8835
303	3851	8817
304	3860	8797
305	3870	8778
306	3881	8761
307	3891	8742
308	3900	8722
309	3910	8703
310	3920	8685
311	3930	8666
312	3940	8648
313	3953	8636
314	3963	8618
315	3973	8601
316	3984	8584
317	3994	8565
318	4003	8547
319	4013	8529
320	4023	8511
321	4033	8493
322	4043	8475
323	4053	8457
324	4063	8440
325	4073	8422
326	4084	8405
327	4093	8387
328	4104	8370
329	4114	8353
330	4123	8335
331	4133	8317
332	4143	8299
333	4153	8281
334	4162	8263
335	4173	8247
336	4183	8230
337	4193	8214
338	4204	8197
339	4214	8180
340	4224	8163
341	4233	8145
342	4243	8128
343	4253	8111
344	4263	8094
345	4273	8077
346	4284	8062
347	4294	8045
348	4304	8028
349	4313	8010
350	4323	7994
351	4336	7982
352	4346	7966
353	4357	7951
354	4366	7934
355	4377	7918
356	4387	7901
357	4397	7886
358	4407	7869
359	4416	7851
360	4426	7834
361	4436	7818
362	4446	7802
363	4456	7786
364	4466	7770
365	4478	7757
366	4490	7745
367	4501	7731
368	4513	7718
369	4524	7704
370	4539	7695
371	4551	7683
372	4563	7670
373	4574	7657
374	4585	7643
375	4598	7631
376	4609	7617
377	4621	7605
378	4632	7591
379	4644	7578
380	4657	7566
381	4669	7554
382	4682	7543
383	4695	7531
384	4706	7518
385	4719	7506
386	4732	7495
387	4744	7482
388	4756	7470
389	4768	7458
390	4780	7446
391	4791	7432
392	4804	7419
393	4816	7408
394	4828	7395
395	4840	7383
396	4852	7370
397	4865	7358
398	4877	7346
399	4889	7334
400	4901	7321
401	4913	7308
402	4923	7293
403	4933	7277
404	4943	7262
405	4952	7245
406	4962	7230
407	4972	7214
408	4982	7199
409	4992	7184
410	5002	7168
411	5011	7152
412	5021	7136
413	5031	7122
414	5041	7106
415	5051	7091
416	5060	7075
417	5071	7060
418	5081	7045
419	5091	7031
420	5101	7015
421	5111	7000
422	5123	6988
423	5134	6974
424	5144	6960
425	5154	6944
426	5164	6930
427	5175	6917
428	5186	6902
429	5196	6888
430	5206	6873
431	5216	6858
432	5226	6844
433	5236	6829
434	5246	6814
435	5257	6800
436	5267	6786
437	5277	6771
438	5287	6756
439	5296	6741
440	5307	6727
441	5318	6714
442	5328	6699
443	5338	6685
444	5348	6670
445	5358	6655
446	5368	6641
447	5378	6627
448	5388	6612
449	5400	6600
450	5410	6586
451	5420	6571
452	5430	6557
453	5441	6543
454	5451	6529
455	5461	6515
456	5472	6502
457	5482	6488
458	5493	6474
459	5505	6462
460	5516	6449
461	5526	6435
462	5535	6420
463	5545	6405
464	5555	6392
465	5566	6378
466	5576	6364
467	5586	6350
468	5596	6336
469	5606	6321
470	5616	6308
471	5626	6293
472	5636	6279
473	5646	6266
474	5657	6252
475	5667	6238
476	5678	6226
477	5688	6211
478	5698	6198
479	5708	6184
480	5718	6170
481	5728	6156
482	5737	6141
483	5748	6128
484	5758	6114
485	5769	6102
486	5781	6089
487	5791	6075
488	5801	6062
489	5811	6048
490	5821	6034
491	5831	6020
492	5840	6006
493	5850	5993
494	5861	5979
495	5872	5966
496	5881	5952
497	5894	5941
498	5907	5931
499	5919	5919
500	5931	5908
501	5943	5896
502	5956	5885
503	5969	5874
504	5980	5862
505	5992	5850
506	6004	5838
507	6017	5827
508	6028	5815
509	6040	5803
510	6052	5791
511	6063	5779
512	6076	5768
513	6088	5756
514	6099	5744
515	6112	5733
516	6123	5721
517	6136	5709
518	6148	5698
519	6161	5687
520	6173	5675
521	6185	5663
522	6196	5651
523	6208	5639
524	6220	5628
525	6233	5617
526	6244	5605
527	6257	5593
528	6269	5581
529	6283	5572
530	6296	5561
531	6308	5549
532	6320	5537
533	6331	5525
534	6343	5513
535	6354	5500
536	6364	5487
537	6374	5474
538	6384	5460
539	6395	5448
540	6406	5435
541	6417	5422
542	6427	5409
543	6436	5395
544	6446	5382
545	6456	5368
546	6467	5355
547	6477	5342
548	6487	5329
549	6497	5316
550	6508	5303
551	6518	5290
552	6528	5276
553	6538	5263
554	6548	5250
555	6559	5237
556	6569	5224
557	6579	5211
558	6589	5198
559	6600	5185
560	6610	5173
561	6620	5159
562	6630	5146
563	6641	5133
564	6651	5120
565	6661	5108
566	6674	5097
567	6686	5085
568	6696	5072
569	6706	5059
570	6716	5046
571	6726	5033
572	6736	5020
573	6746	5007
574	6756	4994
575	6766	4980
576	6776	4968
577	6787	4955
578	6796	4941
579	6807	4929
580	6817	4916
581	6827	4903
582	6837	4890
583	6848	4878
584	6858	4865
585	6869	4852
586	6879	4839
587	6888	4826
588	6898	4814
589	6909	4801
590	6918	4788
591	6929	4775
592	6939	4763
593	6950	4750
594	6960	4737
595	6970	4724
596	6979	4711
597	6990	4699
598	7001	4686
599	7011	4674
600	7021	4661
601	7032	4649
602	7042	4636
603	7053	4624
604	7064	4612
605	7076	4600
606	7086	4588
607	7097	4575
608	7107	4563
609	7117	4550
610	7129	4538
611	7140	4526
612	7150	4513
613	7160	4501
614	7170	4488
615	7181	4476
616	7191	4463
617	7201	4451
618	7212	4439
619	7221	4426
620	7231	4413
621	7241	4400
622	7250	4387
623	7260	4375
624	7272	4363
625	7281	4350
626	7292	4338
627	7302	4325
628	7312	4313
629	7322	4300
630	7334	4288
631	7347	4278
632	7360	4267
633	7372	4255
634	7384	4244
635	7396	4233
636	7408	4221
637	7420	4210
638	7432	4199
639	7444	4187
640	7460	4178
641	7472	4166
642	7485	4156
643	7497	4144
644	7509	4133
645	7521	4121
646	7538	4113
647	7551	4102
648	7564	4091
649	7577	4080
650	7589	4068
651	7601	4057
652	7614	4046
653	7627	4035
654	7640	4024
655	7652	4012
656	7663	4001
657	7675	3989
658	7687	3977
659	7699	3966
660	7712	3955
661	7724	3943
662	7736	3932
663	7748	3921
664	7761	3909
665	7773	3898
666	7785	3886
667	7795	3874
668	7805	3862
669	7816	3849
670	7827	3837
671	7837	3825
672	7850	3814
673	7861	3802
674	7871	3790
675	7881	3777
676	7891	3765
677	7901	3752
678	7911	3740
679	7923	3728
680	7933	3716
681	7943	3703
682	7953	3691
683	7962	3678
684	7973	3666
685	7985	3655
686	7995	3642
687	8005	3630
688	8016	3618
689	8026	3606
690	8036	3593
691	8047	3581
692	8058	3569
693	8068	3557
694	8078	3545
695	8089	3533
696	8099	3520
697	8109	3508
698	8120	3496
699	8131	3484
700	8141	3472
701	8152	3460
702	8162	3448
703	8171	3435
704	8182	3423
705	8192	3411
706	8203	3399
707	8217	3389
708	8230	3378
709	8241	3366
710	8251	3354
711	8262	3342
712	8273	3330
713	8283	3317
714	8293	3305
715	8304	3293
716	8314	3281
717	8323	3269
718	8334	3257
719	8346	3245
720	8356	3233
721	8367	3221
722	8377	3209
723	8387	3197
724	8399	3185
725	8409	3173
726	8419	3161
727	8431	3150
728	8442	3138
729	8452	3126
730	8463	3114
731	8473	3102
732	8483	3090
733	8493	3077
734	8503	3065
735	8514	3053
736	8524	3041
737	8534	3030
738	8545	3018
739	8555	3005
740	8566	2994
741	8577	2982
742	8587	2970
743	8598	2958
744	8608	2946
745	8618	2934
746	8631	2923
747	8642	2911
748	8652	2899
749	8663	2887
750	8674	2875
751	8691	2866
752	8700	2854
753	8711	2842
754	8721	2830
755	8732	2818
756	8742	2806
757	8752	2794
758	8764	2782
759	8775	2771
760	8786	2759
761	8798	2747
762	8811	2737
763	8825	2726
764	8838	2714
765	8850	2703
766	8863	2692
767	8876	2681
768	8888	2670
769	8900	2658
770	8913	2647
771	8925	2636
772	8937	2624
773	8950	2613
774	8961	2601
775	8974	2590
776	8987	2579
777	8998	2567
778	9013	2557
779	9027	2546
780	9039	2534
781	9050	2523
782	9062	2511
783	9074	2500
784	9088	2489
785	9100	2477
786	9113	2466
787	9125	2455
788	9138	2443
789	9150	2432
790	9162	2420
791	9174	2409
792	9187	2398
793	9200	2386
794	9213	2375
795	9225	2364
796	9236	2352
797	9246	2340
798	9258	2328
799	9268	2317
800	9279	2305
801	9289	2293
802	9298	2281
803	9309	2269
804	9321	2257
805	9332	2246
806	9343	2234
807	9353	2222
808	9364	2211
809	9375	2199
810	9384	2186
811	9395	2175
812	9406	2163
813	9418	2152
814	9431	2140
815	9442	2129
816	9452	2117
817	9463	2105
818	9474	2093
819	9484	2082
820	9495	2070
821	9505	2058
822	9516	2046
823	9526	2034
824	9536	2022
825	9546	2011
826	9557	1999
827	9568	1987
828	9578	1975
829	9589	1964
830	9597	1951
831	9609	1940
832	9620	1928
833	9630	1916
834	9641	1905
835	9651	1893
836	9662	1881
837	9672	1869
838	9683	1858
839	9695	1846
840	9706	1835
841	9716	1823
842	9726	1811
843	9737	1799
844	9747	1788
845	9757	1776
846	9768	1764
847	9779	1752
848	9790	1741
849	9800	1729
850	9810	1717
851	9823	1706
852	9835	1695
853	9845	1683
854	9857	1671
855	9868	1660
856	9878	1648
857	9888	1636
858	9899	1624
859	9909	1613
860	9919	1601
861	9930	1589
862	9941	1578
863	9951	1566
864	9962	1554
865	9972	1543
866	9983	1531
867	9993	1519
868	10004	1508
869	10014	1496
870	10025	1484
871	10035	1473
872	10045	1461
873	10056	1449
874	10066	1438
875	10077	1426
876	10088	1414
877	10099	1403
878	10109	1391
879	10120	1380
880	10131	1368
881	10141	1356
882	10152	1345
883	10162	1333
884	10172	1321
885	10183	1310
886	10193	1298
887	10203	1286
888	10216	1275
889	10231	1264
890	10244	1253
891	10256	1241
892	10268	1230
893	10280	1218
894	10292	1207
895	10306	1196
896	10318	1184
897	10330	1173
898	10343	1162
899	10356	1150
900	10367	1139
901	10381	1127
902	10394	1116
903	10406	1105
904	10419	1093
905	10432	1082
906	10444	1070
907	10457	1059
908	10467	1047
909	10479	1036
910	10494	1025
911	10506	1013
912	10519	1002
913	10532	991
914	10545	979
915	10557	968
916	10570	956
917	10582	945
918	10595	933
919	10608	922
920	10623	911
921	10636	899
922	10649	888
923	10661	876
924	10673	865
925	10685	853
926	10696	842
927	10706	830
928	10716	819
929	10726	807
930	10737	795
931	10747	784
932	10758	772
933	10769	761
934	10779	749
935	10789	737
936	10800	726
937	10810	714
938	10821	703
939	10831	691
940	10841	679
941	10851	668
942	10862	656
943	10873	645
944	10883	633
945	10893	621
946	10904	610
947	10915	598
948	10925	587
949	10936	575
950	10946	563
951	10957	552
952	10968	540
953	10978	529
954	10988	517
955	10998	506
956	11008	494
957	11022	483
958	11033	471
959	11045	460
960	11055	448
961	11066	437
962	11078	425
963	11089	414
964	11099	402
965	11110	391
966	11121	379
967	11131	367
968	11141	356
969	11152	344
970	11162	333
971	11173	321
972	11184	310
973	11195	298
974	11206	287
975	11216	275
976	11227	264
977	11238	252
978	11249	241
979	11259	229
980	11269	218
981	11280	206
982	11291	195
983	11300	183
984	11312	172
985	11322	160
986	11333	149
987	11342	137
988	11354	126
989	11365	114
990	11377	103
991	11387	91
992	11398	80
993	11409	68
994	11422	57
995	11433	45
996	11445	34
997	11456	22
998	11467	11
999	11477	0
